    -0,966898
     -1,43332
    -0,456364
     -1,53143
     -1,27769
     0,957938
     -1,75504
    -0,871898
     0,979675
     -1,23588
     -2,22051
     -2,09842
    -0,395982
    0,0336649
    -0,928453
    -0,237908
     0,286624
     0,187667
     -1,18475
     -1,94124
     -1,39489
    -0,702029
    -0,622293
      -1,8518
     -1,08064
     -1,85676
     -1,42991
      -1,3954
    -0,440467
      0,21293
      1,43507
    -0,991905
     0,696017
     0,287029
    -0,410824
    -0,177076
     -1,00008
    -0,609986
    -0,842704
      -1,2509
    -0,839028
     -1,09016
     -2,68645
     -1,44851
    -0,173582
    -0,166207
     -1,52161
     -1,21466
     -2,44647
     -1,77187
    -0,323995
      2,13304
     0,764554
     0,866981
      2,17878
      1,97372
      1,94278
    -0,384971
    -0,874967
     -2,13587
     -1,61197
    -0,583101
    -0,177953
    -0,978846
     -1,03292
    -0,574987
    -0,587721
     -1,72917
    -0,717661
    -0,244141
     -1,19443
    -0,749567
     -1,02131
     -1,32673
    -0,973004
     -1,41219
      1,16541
     -1,32611
     0,340264
     -0,50455
    -0,887477
     -1,66177
       -1,344
   -0,0878063
      1,64574
     0,507376
     -1,59957
    -0,960322
     -1,41025
     -1,26643
   -0,0446476
    -0,852033
     -0,75152
    -0,642688
     -1,44794
     -1,84329
     -2,24704
     -2,00265
   -0,0273313
      2,45102
    -0,881786
    -0,612744
    -0,740268
     -1,37073
     -1,11606
    -0,597147
     0,776073
     0,987238
     -0,33843
    -0,982179
    -0,173644
    -0,634603
    0,0124079
    -0,788102
     -1,58861
     0,368716
    -0,167817
      1,23194
     -1,06783
     -1,23225
     0,216283
     -0,74064
      1,66531
