      58,2737
      62,6326
       47,029
      69,9675
      63,4379
      47,5117
      51,3994
      48,9627
      43,8539
      63,4375
      52,9127
      45,6171
      47,5472
      41,1027
       60,538
      70,5919
      56,6041
      72,8687
      59,3659
      58,7438
      54,9926
      48,3378
      47,0114
      62,7441
      46,7592
      57,0493
      58,8544
      51,8179
      46,0839
      48,5111
      65,7076
      61,7703
      53,8846
      46,5765
      45,8711
      49,6038
      58,7367
      54,1098
       57,159
      52,7875
      44,7322
      50,1787
      52,8481
      54,7044
      43,5447
      38,7372
      43,9403
      46,9821
      51,6315
      47,6179
      46,7132
      72,3921
      93,9561
      84,1255
      49,4557
      37,6829
      44,5161
      45,5614
      48,2852
      44,2325
      38,8419
      45,4284
      53,2788
       47,514
      41,2151
      32,9628
      32,3598
      39,4115
      31,3665
      36,9774
      31,4411
      31,4411
      27,1859
      35,1798
      39,3174
      31,0011
      33,0205
      39,8992
      31,0439
      24,0493
       23,492
      25,4304
      40,8593
      86,2406
      70,4074
      57,7513
      44,2731
      34,1306
      27,6499
      21,8975
      23,4183
      29,1827
      29,4293
      25,8856
      17,9491
      33,4723
      35,6125
      24,1582
      31,7784
      36,4714
      22,6874
      37,5453
      83,4294
      68,1961
      54,6108
      39,8986
      53,5377
      74,9726
      87,2486
      80,7156
      85,8676
      92,0757
      72,9857
      72,9857
      72,9857
      72,9857
      72,9857
      55,2956
      55,4021
      52,8871
      65,7728
       79,899
      95,8264
