      3,67948
      2,79608
      2,95456
     -2,83757
     -1,59083
     -3,09706
     -3,92823
     0,506182
     0,867907
     -3,99696
     -2,21172
     -1,43601
     -2,13144
    -0,850478
     -2,89425
     -2,68574
     -2,05616
     -3,84873
     -4,35753
     -2,78808
      -2,4233
     -2,52662
     -3,04192
      -3,2779
     -2,07794
     -4,14282
     -3,31768
     -1,50961
     -3,24119
     -2,91339
     -4,36463
      -2,3707
     -3,29293
     -2,42686
     -3,95277
     -4,29455
     -3,27102
     -3,34979
     -3,39906
      -2,8807
     -1,98684
     -1,84582
     -3,22803
     -2,39198
     -3,00315
    -0,647014
     -3,57628
     -1,78179
     -3,71014
     -1,85912
     -3,32473
     -1,91424
     -1,49192
      -2,3248
     -2,55897
     -2,59293
     -2,93001
     -2,94109
     -3,67063
      -3,1826
     -2,28648
     -3,52433
     -4,04753
     -4,84035
     -2,27366
     -2,80886
     -4,12034
     -2,23477
     -2,70962
     -2,55073
     -4,23147
     -2,62348
     -2,82615
     -4,10905
     -3,73776
     -2,32042
     -4,06882
     -2,13468
     -1,53771
     -3,64998
     -2,55052
     -3,78805
     -2,39725
    -0,970023
     -1,53553
     -2,72372
      -2,6978
     -2,37086
     -1,05193
     -2,64512
      -3,4749
     -3,85322
     -2,96101
     -3,09787
      -4,2013
     -3,45504
     -3,81177
     -2,65229
     0,234096
     -1,41774
      1,92721
      1,08356
     -3,20226
     -1,62877
     0,049167
    -0,384824
      1,31774
     -1,61923
     -1,97185
     -2,16554
     -1,99378
     -1,10579
    -0,853387
      -1,7145
     -2,57561
     -1,19972
       1,9907
      1,73754
      2,82682
      3,77687
     0,646331
     -2,08455
     -1,17894
